1,1,1,7,3,0,0,3,0,0,0
0,1,0,2,0,0,0,0,0,0,0
0,-1,0,1,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,0
0,-1,0,2,0,0,0,0,0,0,0
0,1,0,2,0,0,0,0,0,0,0
0,-1,0,2,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0
1,1,1,11,2,0,0,2,0,0,0
0,0,0,4,4,0,0,4,0,0,0
0,1,0,1,0,0,0,0,0,0,0
0,-1,0,3,0,0,0,0,0,0,0
0,0,0,25,2,0,0,2,0,0,0
0,0,0,6,3,0,0,3,0,0,0
0,-1,0,3,0,0,0,0,0,0,0
0,-1,0,1,0,0,0,0,0,0,0
0,-1,0,1,0,0,0,0,0,0,0
0,-1,0,3,0,0,0,0,0,0,0
0,-1,0,1,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0
0,-1,0,1,0,0,0,0,0,0,0
0,-1,0,1,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0
0,-1,0,1,0,0,0,0,0,0,0
0,0,0,8,8,0,0,8,0,0,0
0,1,0,1,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0
0,1,0,1,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0
0,-1,0,2,0,0,0,0,0,0,0
0,-1,1,11,8,0,0,6,0,0,0
0,1,0,1,0,0,0,0,0,0,0
0,-1,0,1,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0
0,1,0,3,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0
0,-1,0,1,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0
1,1,1,4,4,0,0,2,0,0,0
0,-1,0,1,0,0,0,0,0,0,0
0,-1,0,2,0,0,0,0,0,0,0
0,-1,1,4,0,0,0,0,0,0,0
1,1,1,3,3,0,0,3,0,0,0
0,-1,0,2,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0
0,1,0,4,0,0,0,0,0,0,0
0,-1,1,3,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0
0,-1,0,2,0,0,0,0,0,0,0
0,0,1,1,1,0,0,1,0,0,0
0,-1,0,1,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0
0,1,0,2,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0
