@RELATION trainCharckaya

@ATTRIBUTE _isname REAL
@ATTRIBUTE _gender REAL
@ATTRIBUTE _animate REAL
@ATTRIBUTE _frequency REAL
@ATTRIBUTE _mainword REAL
@ATTRIBUTE _dependentverbs REAL
@ATTRIBUTE _dependenceofverb REAL
@ATTRIBUTE _dependentnoun REAL
@ATTRIBUTE _dependenceofnoun REAL
@ATTRIBUTE _dependentadjective REAL
@ATTRIBUTE _intem REAL
@ATTRIBUTE class {'object','person','something'}

@DATA
0,0,0,10,0,0,0,0,0,0,0.21261261261261266,'person'
0,1,1,1,0,0,0,0,0,0,-0.13693693693693695,'person'
0,0,0,40,29,19,2,3,5,0,0.21441441441441444,'person'
0,-1,1,1,0,0,0,0,0,0,0.8450450450450451,'person'
0,1,1,1,3,0,0,0,0,0,0.6594594594594594,'person'
1,1,1,3,0,0,0,0,0,0,0.21981981981981985,'person'
1,1,1,1,0,0,0,0,0,0,-0.24324324324324326,'person'
1,1,1,1,0,0,0,0,0,0,-0.23423423423423426,'person'
0,-1,1,2,0,0,0,0,0,0,-0.4198198198198198,'person'
0,-1,1,2,1,0,0,0,1,0,-0.4198198198198198,'person'
0,-1,1,2,1,0,0,0,0,0,-0.7747747747747747,'person'
0,-1,1,6,1,0,0,1,0,0,0.7009009009009008,'person'
1,-1,1,2,0,0,0,0,0,0,-0.9315315315315316,'person'
0,-1,1,1,0,0,0,0,0,0,-0.07387387387387387,'person'
1,1,1,1,1,0,3,1,0,0,0.8414414414414414,'person'
0,1,1,2,1,0,0,1,0,0,0.5027027027027027,'person'
0,1,1,1,0,0,0,0,0,0,0.40540540540540543,'person'
0,-1,1,1,0,0,0,0,0,0,-0.13693693693693695,'person'
0,1,1,1,1,0,0,0,0,0,-0.13693693693693695,'person'
0,0,0,6,2,3,0,0,1,0,-0.007207207207207245,'person'
0,1,1,1,1,0,0,0,0,0,0.40540540540540543,'person'
0,-1,1,2,1,0,0,1,0,0,-0.13693693693693695,'person'
0,-1,1,2,1,0,0,1,0,0,-0.5873873873873874,'person'
1,-1,1,3,0,0,0,0,0,0,0.20900900900900898,'person'
0,0,1,2,1,0,0,0,0,0,-0.07387387387387387,'person'
0,-1,1,2,1,1,0,0,1,0,-0.23423423423423426,'person'
0,1,1,4,1,0,0,1,0,0,0.14054054054054055,'person'
0,0,1,2,1,0,0,1,2,0,-0.13693693693693695,'person'
0,-1,1,2,3,3,0,0,0,0,0.7117117117117118,'person'
0,-1,1,8,5,1,1,1,2,0,0.7495495495495494,'person'
0,1,1,1,0,0,0,0,0,0,-0.13693693693693695,'person'
0,1,1,2,0,0,0,0,0,0,0.052252252252252274,'person'
1,0,1,6,4,1,0,0,0,0,0.18738738738738736,'person'
0,-1,1,3,1,0,0,0,0,0,0.5027027027027027,'person'
0,1,1,1,0,0,0,0,0,0,-0.4198198198198198,'person'
1,1,1,2,1,0,0,1,0,0,-0.043243243243243246,'person'
0,1,1,1,0,0,0,0,0,0,-0.07387387387387387,'person'
0,-1,1,3,2,0,0,0,0,0,0.40540540540540543,'person'
0,-1,1,2,1,0,0,1,0,0,-0.7747747747747747,'person'
0,-1,0,2,0,0,0,0,0,0,-0.23423423423423426,'person'
0,1,1,1,1,0,0,0,0,0,-0.23423423423423426,'person'
0,-1,1,2,1,0,0,1,0,0,-0.4198198198198198,'person'
1,-1,1,1,0,0,0,0,0,0,0.7531531531531531,'person'
0,-1,1,1,0,0,0,0,0,0,0.6594594594594594,'person'
1,-1,1,3,1,1,1,0,0,0,-0.1351351351351351,'person'
0,1,1,1,0,0,0,0,0,0,-0.1351351351351351,'person'
1,-1,1,4,0,0,0,0,0,0,0.8144144144144144,'person'
0,-1,1,1,0,0,0,0,0,0,-0.23423423423423426,'person'
0,0,0,1,0,0,0,0,0,0,0.21981981981981985,'person'
1,-1,1,5,0,0,1,0,0,0,0.8414414414414414,'person'
0,1,0,6,4,2,3,1,1,0,0.36936936936936937,'object'
0,-1,0,3,3,0,0,0,0,0,0.37657657657657656,'object'
0,1,0,1,0,0,0,0,0,0,-0.043243243243243246,'object'
0,1,0,2,0,0,0,0,0,0,0.052252252252252274,'object'
0,1,0,1,1,0,0,0,0,0,-0.4198198198198198,'object'
0,1,0,3,1,2,0,0,2,0,0.14054054054054055,'object'
0,-1,0,3,3,2,0,0,0,0,0.20900900900900898,'object'
0,1,1,2,2,0,0,1,0,0,0.021621621621621623,'object'
0,1,0,1,1,0,0,0,1,0,-0.2918918918918919,'object'
0,-1,0,2,0,0,0,0,0,0,-0.4198198198198198,'object'
0,1,0,1,1,0,0,1,0,0,-0.9315315315315316,'object'
0,1,0,4,1,0,0,0,1,0,0.20900900900900898,'object'
0,1,0,1,1,1,0,0,0,0,-0.4198198198198198,'object'
0,1,0,1,1,0,0,1,0,0,-0.23423423423423426,'object'
0,1,0,2,1,0,0,0,0,0,0.5657657657657658,'object'
0,-1,0,4,3,1,2,0,0,0,0.20900900900900898,'object'
0,-1,0,2,0,0,0,0,0,0,-0.7747747747747747,'object'
0,1,0,2,1,0,0,1,2,0,-0.7747747747747747,'object'
0,-1,0,2,1,0,0,0,0,0,0.8252252252252252,'object'
0,1,0,1,5,3,0,2,0,0,0.003603603603603567,'object'
0,-1,0,2,1,1,0,1,1,0,-0.23423423423423426,'object'
0,0,0,3,1,0,0,0,0,0,0.1711711711711712,'object'
0,1,0,1,0,0,1,0,0,0,-0.012612612612612614,'object'
0,1,0,2,1,0,0,0,1,0,-0.23423423423423426,'object'
0,-1,0,3,0,0,0,0,0,0,-0.1351351351351351,'object'
0,-1,0,1,1,0,0,0,0,0,-0.5873873873873874,'object'
0,1,0,3,1,1,0,0,0,0,0.043243243243243246,'object'
0,-1,0,1,1,0,0,0,0,0,-0.23423423423423426,'object'
0,1,1,1,1,0,0,1,0,0,-0.5873873873873874,'object'
0,1,0,2,1,1,0,1,0,0,0.021621621621621623,'object'
0,-1,0,2,4,1,0,0,1,0,-0.5873873873873874,'object'
0,1,0,1,1,0,0,1,0,0,-0.9315315315315316,'object'
0,0,0,3,0,0,0,0,0,0,0.37657657657657656,'object'
0,-1,0,4,2,1,0,0,0,0,0.37657657657657656,'object'
0,-1,0,1,1,1,0,0,1,0,-0.5873873873873874,'object'
0,0,0,3,0,0,0,0,0,2,0.21981981981981985,'object'
